prob_density,r,z,vr,vz
2e-06,8.214961700000002e-08,1.7023031365e-06,-0.0187732583,0.0163256868
2e-06,8.248391250000001e-08,1.7020128505000002e-06,-0.0186521275,0.0161966151
2e-06,8.281937300000001e-08,1.7017219770000002e-06,-0.0185318508,0.0160687312
2e-06,8.315604650000002e-08,1.7014304750000003e-06,-0.018412396,0.0159420049
1e-06,8.349396000000001e-08,1.7011383215000003e-06,-0.018293752,0.0158164205
1e-06,8.38330325e-08,1.7008455875000001e-06,-0.0181759377,0.015691993
1e-06,8.4173346e-08,1.700552201e-06,-0.0180589207,0.0155686906
1e-06,8.451486850000001e-08,1.7002581910000001e-06,-0.0179427124,0.0154465183
1e-06,8.485754500000001e-08,1.699963605e-06,-0.0178273166,0.0153254787
1e-06,8.5201506e-08,1.6996683305e-06,-0.0177126836,0.0152055233
1e-06,8.554662850000001e-08,1.6993724725000002e-06,-0.0175988566,0.0150866855
1e-06,8.5892947e-08,1.6990760025000003e-06,-0.0174858124,0.0149689449
1e-06,8.624051400000001e-08,1.698778875e-06,-0.0173735262,0.014852274
1e-06,8.6589224e-08,1.6984811790000004e-06,-0.017262029,0.0147366977
1e-06,8.693920100000001e-08,1.6981828090000001e-06,-0.0171512762,0.0146221739
1e-06,8.729034950000002e-08,1.6978838460000001e-06,-0.0170412901,0.0145087175
1e-06,8.764269e-08,1.6975842720000002e-06,-0.0169320546,0.0143963134
1e-06,8.799627350000002e-08,1.697284043e-06,-0.0168235561,0.014284945
1e-06,8.835098700000001e-08,1.696983254e-06,-0.0167158171,0.0141746296
1e-06,8.8706994e-08,1.6966817655000002e-06,-0.0166087856,0.0140653184
1e-06,8.906413550000001e-08,1.6963797125e-06,-0.0165025009,0.0139570413
1e-06,8.942251300000001e-08,1.6960770065000001e-06,-0.01639693,0.0138497678
1e-06,8.978208e-08,1.6957736875000002e-06,-0.0162920931,0.0137434835
1e-06,9.01428325e-08,1.6954697585000003e-06,-0.0161880009,0.0136381618
1e-06,9.050482400000001e-08,1.6951651755e-06,-0.0160846292,0.013533776
1e-06,9.0867955e-08,1.6948600210000002e-06,-0.0159820119,0.0134303532
1e-06,9.1232368e-08,1.6945541765e-06,-0.0158800883,0.0133278384
1e-06,9.1597893e-08,1.6942477845000003e-06,-0.015778915,0.0132262771
1e-06,9.196471450000001e-08,1.6939406900000002e-06,-0.0156784235,0.0131256088
1e-06,9.2332654e-08,1.693633043e-06,-0.0155786649,0.0130258734
1e-06,9.270186250000001e-08,1.6933247160000002e-06,-0.0154795898,0.0129270275
1e-06,9.307221350000001e-08,1.6930158160000001e-06,-0.0153812244,0.0128290897
1e-06,9.344381250000001e-08,1.6927062535000002e-06,-0.0152835437,0.012732037
1e-06,9.3816571e-08,1.6923961025e-06,-0.0151865553,0.0126358726
1e-06,9.419056300000002e-08,1.6920853005e-06,-0.0150902271,0.0125405674
1e-06,9.4565724e-08,1.6917739005e-06,-0.0149945963,0.0124461496
1e-06,9.494211100000001e-08,1.6914618555e-06,-0.0148996187,0.0123525799
1e-06,9.531967000000002e-08,1.6911492095e-06,-0.0148053201,0.0122598768
1e-06,9.569845500000001e-08,1.6908359170000001e-06,-0.0147116679,0.0121680111
1e-06,9.607840600000001e-08,1.6905220260000002e-06,-0.0146186799,0.0120769948
1e-06,9.645958950000001e-08,1.690207482e-06,-0.0145263244,0.0119867989
1e-06,9.684192700000001e-08,1.689892348e-06,-0.014434629,0.0118974438
1e-06,9.722551100000001e-08,1.6895765480000001e-06,-0.0143435523,0.0118088928
1e-06,9.7610228e-08,1.6892601725000002e-06,-0.0142531303,0.0117211729
1e-06,9.7996213e-08,1.6889431115000002e-06,-0.014163321,0.0116342331
1e-06,9.83833025e-08,1.6886254980000002e-06,-0.0140741765,0.0115480862
1e-06,9.877168900000002e-08,1.6883071755000002e-06,-0.0139856453,0.0114626836
1e-06,9.9161166e-08,1.6879883120000001e-06,-0.0138977702,0.0113780588
1e-06,9.955193150000001e-08,1.6876687455000001e-06,-0.0138105051,0.0112941717
1e-06,9.9943811e-08,1.6873486190000002e-06,-0.0137238774,0.0112110424
1e-06,1.00336934e-07,1.6870278265e-06,-0.0136378606,0.0111286479
1e-06,1.0073121900000002e-07,1.6867064335000002e-06,-0.013552462,0.0110469913
1e-06,1.0112669350000002e-07,1.6863844180000003e-06,-0.0134676712,0.0109660627
1e-06,1.01523387e-07,1.6860617555e-06,-0.0133834805,0.0108858529
1e-06,1.0192120750000001e-07,1.6857385200000002e-06,-0.013299899,0.0108063683
1e-06,1.0232031200000001e-07,1.6854145845e-06,-0.013216893,0.0107275785
1e-06,1.027205155e-07,1.6850900975e-06,-0.0131344944,0.0106495075
1e-06,1.0312199050000001e-07,1.6847649195000002e-06,-0.0130526647,0.0105721226
1e-06,1.0352460950000001e-07,1.6844391525e-06,-0.0129714216,0.0104954353
1e-06,1.0392841750000001e-07,1.6841127595e-06,-0.0128907551,0.0104194366
1e-06,1.043334535e-07,1.6837857080000001e-06,-0.0128106498,0.0103441109
1e-06,1.047395935e-07,1.6834580985e-06,-0.0127311241,0.0102694722
1e-06,1.05147043e-07,1.683129763e-06,-0.0126521357,0.0101954835
1e-06,1.055556035e-07,1.6828008610000003e-06,-0.0125737164,0.0101221682
1e-06,1.05965371e-07,1.6824713145000003e-06,-0.0124958477,0.0100495108
1e-06,1.0637635350000001e-07,1.682141116e-06,-0.0124185176,0.0099774985
1e-06,1.067884435e-07,1.6818103505000002e-06,-0.0123417449,0.0099061455
0.0,1.0720183600000001e-07,1.6814788605e-06,-0.0122654889,0.0098354157
0.0,1.0761635000000001e-07,1.6811467905000002e-06,-0.0121897811,0.0097653162
0.0,1.08032042e-07,1.680814095e-06,-0.0121146213,0.0096958301
0.0,1.08448981e-07,1.6804807185000001e-06,-0.012039987,0.0096269359
0.0,1.0886703100000001e-07,1.6801467705000002e-06,-0.0119659044,0.0095586535
